"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","PRODUCT ID","STANDARD COMPONENT ID","DEPENDENT MAX AGE RULE","AGE DETERMINATION RULE","MINIMUM TOBACCO FREE MONTHS RULE","COHABITATION RULE REQUIRED","COHABITATION RULE CODE","MARKET COVERAGE","DENTAL ONLY PLAN","MEDICAL OR DENTAL RULE","MAX CHILDREN IN POLICY"
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Child,,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,"Foster Child",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,Child,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,"Other Relationship",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Life Partner",,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,Spouse,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,"Life Partner",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,Ward,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",Yes,Self,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,"Foster Child",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",Yes,Self,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,Child,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,Spouse,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,"Other Relationship",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT146,,26,"Age on effective date","Not Applicable",No,Ward,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,"Other Relationship",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,Spouse,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,Ward,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",Yes,Self,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Spouse,,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",Yes,Self,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,Child,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,"Life Partner",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,Spouse,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,Ward,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,"Foster Child",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Spouse,,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Life Partner",,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",Yes,Self,,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Ward,,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Other Relationship",,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Foster Child",,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,"Life Partner",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Life Partner",,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",Yes,Self,,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Ward,,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Other Relationship",,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Child,,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Foster Child",,,Medical,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,"Foster Child",,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,Child,,,Dental,3
2024,CT,86545,SERFF,1,02-12-2024,86545CT140,,26,"Age on effective date","Not Applicable",No,"Other Relationship",,,Dental,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Life Partner",,,Dental,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Spouse,,,Medical,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Ward,,,Medical,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Foster Child",,,Medical,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Child,,,Medical,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",Yes,Self,,,Dental,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Spouse,,,Dental,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",Yes,Self,,,Medical,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Other Relationship",,,Dental,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Ward,,,Dental,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Dental,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Foster Child",,,Dental,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,Child,,,Dental,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Other Relationship",,,Medical,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Life Partner",,,Medical,3
2024,CT,94815,SERFF,1,02-12-2024,,,26,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Medical,3
